100559ms
t Pt t 总场 目标 海面 耦合 
7.3125 9.4415715e-212 180.93238 -7.3182989e-35 -7.3182989e-35 0 0
7.34375 8.7337355e-214 180.96363 6.4595944e-34 6.4595944e-34 0 0
7.375 -4.6125112e-216 180.99488 4.043474e-33 4.043474e-33 0 0
7.40625 -3.9908357e-218 181.02613 -3.8134275e-32 -3.8134275e-32 0 0
7.4375 2.0414182e-220 181.05738 -1.9985291e-31 -1.9985291e-31 0 0
7.46875 1.6527206e-222 181.08863 2.0318541e-30 2.0318541e-30 0 0
7.5 -8.1853528e-225 181.11988 8.8251142e-30 8.8251142e-30 0 0
7.53125 -6.2030992e-227 181.15113 -9.7712536e-29 -9.7712536e-29 0 0
7.5625 2.973464e-229 181.18238 -3.4680424e-28 -3.4680424e-28 0 0
7.59375 2.1100542e-231 181.21363 4.2410869e-27 4.2410869e-27 0 0
7.625 -9.786249e-234 181.24488 1.205788e-26 1.205788e-26 0 0
7.65625 -6.5051285e-236 181.27613 -1.6612691e-25 -1.6612691e-25 0 0
7.6875 2.91814e-238 181.30738 -3.6750056e-25 -3.6750056e-25 0 0
7.71875 1.8175958e-240 181.33863 5.871959e-24 5.871959e-24 0 0
7.75 -7.8838768e-243 181.36988 9.6617402e-24 9.6617402e-24 0 0
7.78125 -4.6027732e-245 181.40113 -1.8725185e-22 -1.8725185e-22 0 0
7.8125 1.9298543e-247 181.43238 -2.1220961e-22 -2.1220961e-22 0 0
7.84375 1.0563902e-249 181.46363 5.3859442e-21 5.3859442e-21 0 0
7.875 -4.2802288e-252 181.49488 3.5946554e-21 3.5946554e-21 0 0
7.90625 -2.1974208e-254 181.52613 -1.3968545e-19 -1.3968545e-19 0 0
7.9375 8.6014893e-257 181.55738 -3.3559355e-20 -3.3559355e-20 0 0
7.96875 4.1427406e-259 181.58863 3.2652576e-18 3.2652576e-18 0 0
8 -1.5662123e-261 181.61988 -5.0662534e-19 -5.0662534e-19 0 0
8.03125 -7.0786333e-264 181.65113 -6.8760333e-17 -6.8760333e-17 0 0
8.0625 2.584067e-266 181.68238 3.6127266e-17 3.6127266e-17 0 0
8.09375 1.096225e-268 181.71363 1.3035637e-15 1.3035637e-15 0 0
8.125 -3.8631232e-271 181.74488 -1.1432883e-15 -1.1432883e-15 0 0
8.15625 -1.5386506e-273 181.77613 -2.2230294e-14 -2.2230294e-14 0 0
8.1875 5.2331151e-276 181.80738 2.705175e-14 2.705175e-14 0 0
8.21875 1.9573646e-278 181.83863 3.4066138e-13 3.4066138e-13 0 0
8.25 -6.4235335e-281 181.86988 -5.2886019e-13 -5.2886019e-13 0 0
8.28125 -2.2568162e-283 181.90113 -4.684644e-12 -4.684644e-12 0 0
8.3125 7.1447077e-286 181.93238 8.8663356e-12 8.8663356e-12 0 0
8.34375 2.358385e-288 181.96363 5.7706869e-11 5.7706869e-11 0 0
8.375 -7.2010579e-291 181.99488 -1.2976804e-10 -1.2976804e-10 0 0
8.40625 -2.2337189e-293 182.02613 -6.3521234e-10 -6.3521234e-10 0 0
8.4375 6.5767885e-296 182.05738 1.6745671e-09 1.6745671e-09 0 0
8.46875 1.9175154e-298 182.08863 6.2268578e-09 6.2268578e-09 0 0
8.5 -5.4430383e-301 182.11988 -1.9165931e-08 -1.9165931e-08 0 0
8.53125 -1.4919248e-303 182.15113 -5.4088967e-08 -5.4088967e-08 0 0
8.5625 4.0820927e-306 182.18238 1.9529062e-07 1.9529062e-07 0 0
8.59375 1.0520925e-308 182.21363 4.1312213e-07 4.1312213e-07 0 0
8.625 -2.774227e-311 182.24488 -1.7758573e-06 -1.7758573e-06 0 0
8.65625 -6.7241586e-314 182.27613 -2.7387436e-06 -2.7387436e-06 0 0
8.6875 1.6995652e-316 182.30738 1.44336e-05 1.44336e-05 0 0
8.71875 0 182.33863 1.5380321e-05 1.5380321e-05 0 0
8.75 -0 182.36988 -0.00010494583 -0.00010494583 0 0
8.78125 -0 182.40113 -6.9262494e-05 -6.9262494e-05 0 0
8.8125 0 182.43238 0.00068287109 0.00068287109 0 0
8.84375 0 182.46363 0.00020943901 0.00020943901 0 0
8.875 -0 182.49488 -0.0039760587 -0.0039760587 0 0
8.90625 -0 182.52613 -3.4602378e-05 -3.4602378e-05 0 0
8.9375 0 182.55738 0.020704322 0.020704322 0 0
8.96875 0 182.58863 -0.0061751831 -0.0061751831 0 0
9 -0 182.61988 -0.096312934 -0.096312934 0 0
9.03125 -0 182.65113 0.055180987 0.055180987 0 0
9.0625 0 182.68238 0.39952995 0.39952995 0 0
9.09375 0 182.71363 -0.33721815 -0.33721815 0 0
9.125 -0 182.74488 -1.4739009 -1.4739009 0 0
9.15625 -0 182.77613 1.6580421 1.6580421 0 0
9.1875 0 182.80738 4.8153335 4.8153335 0 0
9.21875 0 182.83863 -6.9049771 -6.9049771 0 0
9.25 -0 182.86988 -13.840984 -13.840984 0 0
9.28125 -0 182.90113 24.915933 24.915933 0 0
9.3125 0 182.93238 34.620088 34.620088 0 0
9.34375 0 182.96363 -78.825897 -78.825897 0 0
9.375 -0 182.99488 -73.856851 -73.856851 0 0
9.40625 -0 183.02613 220.10556 220.10556 0 0
9.4375 0 183.05738 128.74284 128.74284 0 0
9.46875 0 183.08863 -544.53563 -544.53563 0 0
9.5 -0 183.11988 -162.24416 -162.24416 0 0
9.53125 -0 183.15113 1196.0216 1196.0216 0 0
9.5625 0 183.18238 64.296617 64.296617 0 0
9.59375 0 183.21363 -2333.8879 -2333.8879 0 0
9.625 -0 183.24488 381.04578 381.04578 0 0
9.65625 -0 183.27613 4044.4066 4044.4066 0 0
9.6875 0 183.30738 -1478.3463 -1478.3463 0 0
9.71875 0 183.33863 -6213.3773 -6213.3773 0 0
9.75 -0 183.36988 3508.4072 3508.4072 0 0
9.78125 -0 183.40113 8434.5954 8434.5954 0 0
9.8125 0 183.43238 -6527.9132 -6527.9132 0 0
9.84375 0 183.46363 -10059.41 -10059.41 0 0
9.875 -0 183.49488 10181.601 10181.601 0 0
9.90625 -0 183.52613 10435.658 10435.658 0 0
9.9375 0 183.55738 -13685.558 -13685.558 0 0
9.96875 0 183.58863 -9244.1215 -9244.1215 0 0
10 -0 183.61988 16074.838 16074.838 0 0
10.03125 -0 183.65113 6722.5815 6722.5815 0 0
10.0625 0 183.68238 -16626.406 -16626.406 0 0
10.09375 0 183.71363 -3600.3148 -3600.3148 0 0
10.125 -0 183.74488 15209.075 15209.075 0 0
10.15625 -0 183.77613 758.30266 758.30266 0 0
10.1875 0 183.80738 -12332.365 -12332.365 0 0
10.21875 0 183.83863 1170.421 1170.421 0 0
10.25 -0 183.86988 8870.6728 8870.6728 0 0
10.28125 -0 183.90113 -2015.1495 -2015.1495 0 0
10.3125 0 183.93238 -5656.8194 -5656.8194 0 0
10.34375 0 183.96363 2007.6657 2007.6657 0 0
10.375 -0 183.99488 3191.3954 3191.3954 0 0
10.40625 -0 184.02613 -1552.2404 -1552.2404 0 0
10.4375 0 184.05738 -1586.2896 -1586.2896 0 0
10.46875 0 184.08863 1002.847 1002.847 0 0
10.5 -0 184.11988 689.50858 689.50858 0 0
10.53125 -0 184.15113 -557.90162 -557.90162 0 0
10.5625 0 184.18238 -258.49012 -258.49012 0 0
10.59375 0 184.21363 271.28008 271.28008 0 0
10.625 -0 184.24488 81.207325 81.207325 0 0
10.65625 -0 184.27613 -116.21253 -116.21253 0 0
10.6875 0 184.30738 -19.825194 -19.825194 0 0
10.71875 0 184.33863 43.982631 43.982631 0 0
10.75 -0 184.36988 -2.6800518 -2.6800518 0 0
10.78125 -0 184.40113 -14.625774 -14.625774 0 0
10.8125 0 184.43238 0.67770403 0.67770403 0 0
10.84375 0 184.46363 -4.1447545 -4.1447545 0 0
10.875 -0 184.49488 -0.77020867 -0.77020867 0 0
10.90625 -0 184.52613 0.87273468 0.87273468 0 0
10.9375 0 184.55738 0.44164641 0.44164641 0 0
10.96875 0 184.58863 -0.024989901 -0.024989901 0 0
11 -0 184.61988 -0.21111874 -0.21111874 0 0
11.03125 -0 184.65113 0.094260629 0.094260629 0 0
11.0625 0 184.68238 0.083995135 0.083995135 0 0
11.09375 0 184.71363 -0.0071192359 -0.0071192359 0 0
11.125 -0 184.74488 -0.0094552531 -0.0094552531 0 0
11.15625 -0 184.77613 -0.19322857 -0.19322857 0 0
11.1875 0 184.80738 -0.027208182 -0.027208182 0 0
11.21875 0 184.83863 0.70593937 0.70593937 0 0
11.25 -0 184.86988 0.10813038 0.10813038 0 0
11.28125 -0 184.90113 -2.3213815 -2.3213815 0 0
11.3125 0 184.93238 -1.1427861 -1.1427861 0 0
11.34375 0 184.96363 7.3284552 7.3284552 0 0
11.375 -0 184.99488 -5.8558484 -5.8558484 0 0
